@relation 'jAudio-weka.filters.unsupervised.attribute.Remove-R3,7,9-11,27-36-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R2-8,15-17,20-21'

@attribute 'Spectral Centroid0' {'\'(-inf-19.79]\'','\'(19.79-39.58]\'','\'(39.58-59.37]\'','\'(59.37-79.16]\'','\'(79.16-98.95]\'','\'(98.95-118.74]\'','\'(118.74-138.53]\'','\'(138.53-158.32]\'','\'(158.32-178.11]\'','\'(178.11-inf)\''}
'\'(138.53-158.32]\'','\'(-0.09788--0.0215]\'','\'(0.0217-0.09658]\'','\'(-0.01488-0.05255]\'','\'(0.0015-0.0558]\'','\'(-0.08568--0.02]\'','\'(-0.0162-0.03564]\'','\'(131.12-147.51]\'','\'(5532.1-6322.4]\''
'\'(118.74-138.53]\'','\'(-0.0215-0.05488]\'','\'(-0.12806--0.05318]\'','\'(-0.08231--0.01488]\'','\'(-0.0528-0.0015]\'','\'(-0.08568--0.02]\'','\'(-0.06804--0.0162]\'','\'(114.73-131.12]\'','\'(6322.4-7112.7]\''
'\'(138.53-158.32]\'','\'(-0.17426--0.09788]\'','\'(0.0217-0.09658]\'','\'(-0.01488-0.05255]\'','\'(-0.0528-0.0015]\'','\'(-0.08568--0.02]\'','\'(0.03564-0.08748]\'','\'(131.12-147.51]\'','\'(5532.1-6322.4]\''
'\'(118.74-138.53]\'','\'(-0.0215-0.05488]\'','\'(-0.05318-0.0217]\'','\'(-0.08231--0.01488]\'','\'(0.0558-0.1101]\'','\'(-0.02-0.04568]\'','\'(0.03564-0.08748]\'','\'(114.73-131.12]\'','\'(5532.1-6322.4]\''
'\'(98.95-118.74]\'','\'(-0.0215-0.05488]\'','\'(0.0217-0.09658]\'','\'(-0.01488-0.05255]\'','\'(-0.1071--0.0528]\'','\'(-0.02-0.04568]\'','\'(-0.06804--0.0162]\'','\'(114.73-131.12]\'','\'(5532.1-6322.4]\''
'\'(118.74-138.53]\'','\'(-0.0215-0.05488]\'','\'(-0.12806--0.05318]\'','\'(-0.08231--0.01488]\'','\'(-0.1614--0.1071]\'','\'(-0.02-0.04568]\'','\'(-0.0162-0.03564]\'','\'(114.73-131.12]\'','\'(5532.1-6322.4]\''
'\'(118.74-138.53]\'','\'(-0.09788--0.0215]\'','\'(0.0217-0.09658]\'','\'(0.05255-0.11998]\'','\'(-0.1071--0.0528]\'','\'(0.11136-0.17704]\'','\'(-0.11988--0.06804]\'','\'(114.73-131.12]\'','\'(4741.8-5532.1]\''
'\'(118.74-138.53]\'','\'(-0.0215-0.05488]\'','\'(-0.12806--0.05318]\'','\'(-0.01488-0.05255]\'','\'(0.0015-0.0558]\'','\'(-0.02-0.04568]\'','\'(-0.06804--0.0162]\'','\'(114.73-131.12]\'','\'(4741.8-5532.1]\''
'\'(118.74-138.53]\'','\'(-0.09788--0.0215]\'','\'(0.0217-0.09658]\'','\'(-0.01488-0.05255]\'','\'(-0.0528-0.0015]\'','\'(0.04568-0.11136]\'','\'(-0.11988--0.06804]\'','\'(114.73-131.12]\'','\'(5532.1-6322.4]\''
'\'(118.74-138.53]\'','\'(-0.09788--0.0215]\'','\'(0.0217-0.09658]\'','\'(-0.01488-0.05255]\'','\'(-0.0528-0.0015]\'','\'(-0.02-0.04568]\'','\'(-0.06804--0.0162]\'','\'(131.12-147.51]\'','\'(4741.8-5532.1]\''
'\'(118.74-138.53]\'','\'(-0.0215-0.05488]\'','\'(0.0217-0.09658]\'','\'(-0.01488-0.05255]\'','\'(-0.0528-0.0015]\'','\'(-0.15136--0.08568]\'','\'(-0.11988--0.06804]\'','\'(114.73-131.12]\'','\'(4741.8-5532.1]\''
'\'(118.74-138.53]\'','\'(0.13126-0.20764]\'','\'(-0.12806--0.05318]\'','\'(-0.01488-0.05255]\'','\'(-0.1071--0.0528]\'','\'(-0.08568--0.02]\'','\'(-0.06804--0.0162]\'','\'(114.73-131.12]\'','\'(5532.1-6322.4]\''
'\'(98.95-118.74]\'','\'(-0.09788--0.0215]\'','\'(0.0217-0.09658]\'','\'(-0.08231--0.01488]\'','\'(-0.0528-0.0015]\'','\'(-0.02-0.04568]\'','\'(-0.06804--0.0162]\'','\'(114.73-131.12]\'','\'(4741.8-5532.1]\''
'\'(79.16-98.95]\'','\'(-0.09788--0.0215]\'','\'(0.09658-0.17146]\'','\'(-0.01488-0.05255]\'','\'(-0.0528-0.0015]\'','\'(-0.08568--0.02]\'','\'(0.03564-0.08748]\'','\'(98.34-114.73]\'','\'(3951.5-4741.8]\''
'\'(118.74-138.53]\'','\'(-0.17426--0.09788]\'','\'(-0.05318-0.0217]\'','\'(-0.01488-0.05255]\'','\'(0.0558-0.1101]\'','\'(-0.08568--0.02]\'','\'(-0.06804--0.0162]\'','\'(114.73-131.12]\'','\'(4741.8-5532.1]\''
'\'(98.95-118.74]\'','\'(-0.0215-0.05488]\'','\'(-0.05318-0.0217]\'','\'(-0.08231--0.01488]\'','\'(-0.0528-0.0015]\'','\'(-0.15136--0.08568]\'','\'(-0.0162-0.03564]\'','\'(114.73-131.12]\'','\'(5532.1-6322.4]\''
'\'(118.74-138.53]\'','\'(-0.0215-0.05488]\'','\'(0.0217-0.09658]\'','\'(-0.08231--0.01488]\'','\'(0.0015-0.0558]\'','\'(-0.02-0.04568]\'','\'(0.03564-0.08748]\'','\'(114.73-131.12]\'','\'(4741.8-5532.1]\''
'\'(118.74-138.53]\'','\'(-0.09788--0.0215]\'','\'(-0.12806--0.05318]\'','\'(-0.01488-0.05255]\'','\'(-0.0528-0.0015]\'','\'(0.04568-0.11136]\'','\'(0.03564-0.08748]\'','\'(131.12-147.51]\'','\'(4741.8-5532.1]\''
'\'(118.74-138.53]\'','\'(-0.09788--0.0215]\'','\'(-0.05318-0.0217]\'','\'(-0.01488-0.05255]\'','\'(-0.0528-0.0015]\'','\'(0.04568-0.11136]\'','\'(-0.06804--0.0162]\'','\'(114.73-131.12]\'','\'(5532.1-6322.4]\''
'\'(98.95-118.74]\'','\'(-0.0215-0.05488]\'','\'(-0.05318-0.0217]\'','\'(0.05255-0.11998]\'','\'(0.0015-0.0558]\'','\'(-0.02-0.04568]\'','\'(0.03564-0.08748]\'','\'(114.73-131.12]\'','\'(5532.1-6322.4]\''
'\'(138.53-158.32]\'','\'(-0.0215-0.05488]\'','\'(0.0217-0.09658]\'','\'(0.05255-0.11998]\'','\'(0.0015-0.0558]\'','\'(-0.08568--0.02]\'','\'(0.03564-0.08748]\'','\'(131.12-147.51]\'','\'(5532.1-6322.4]\''
'\'(118.74-138.53]\'','\'(-0.0215-0.05488]\'','\'(0.09658-0.17146]\'','\'(-0.21717--0.14974]\'','\'(-0.0528-0.0015]\'','\'(-0.08568--0.02]\'','\'(0.03564-0.08748]\'','\'(114.73-131.12]\'','\'(5532.1-6322.4]\''
'\'(79.16-98.95]\'','\'(-0.0215-0.05488]\'','\'(-0.12806--0.05318]\'','\'(-0.08231--0.01488]\'','\'(-0.2157--0.1614]\'','\'(0.11136-0.17704]\'','\'(-0.0162-0.03564]\'','\'(114.73-131.12]\'','\'(7112.7-inf)\''
'\'(118.74-138.53]\'','\'(0.05488-0.13126]\'','\'(-0.05318-0.0217]\'','\'(-0.01488-0.05255]\'','\'(0.0558-0.1101]\'','\'(-0.08568--0.02]\'','\'(-0.0162-0.03564]\'','\'(114.73-131.12]\'','\'(6322.4-7112.7]\''
'\'(79.16-98.95]\'','\'(-0.0215-0.05488]\'','\'(-0.20294--0.12806]\'','\'(-0.01488-0.05255]\'','\'(0.1644-0.2187]\'','\'(-0.15136--0.08568]\'','\'(-0.0162-0.03564]\'','\'(98.34-114.73]\'','\'(5532.1-6322.4]\''
'\'(98.95-118.74]\'','\'(-0.0215-0.05488]\'','\'(0.09658-0.17146]\'','\'(-0.01488-0.05255]\'','\'(-0.0528-0.0015]\'','\'(0.04568-0.11136]\'','\'(0.03564-0.08748]\'','\'(114.73-131.12]\'','\'(4741.8-5532.1]\''
'\'(138.53-158.32]\'','\'(-0.09788--0.0215]\'','\'(-0.12806--0.05318]\'','\'(-0.01488-0.05255]\'','\'(0.0015-0.0558]\'','\'(0.04568-0.11136]\'','\'(0.03564-0.08748]\'','\'(131.12-147.51]\'','\'(4741.8-5532.1]\''
'\'(98.95-118.74]\'','\'(0.05488-0.13126]\'','\'(-0.05318-0.0217]\'','\'(-0.08231--0.01488]\'','\'(0.0558-0.1101]\'','\'(-0.02-0.04568]\'','\'(0.08748-0.13932]\'','\'(114.73-131.12]\'','\'(5532.1-6322.4]\''
'\'(98.95-118.74]\'','\'(-0.0215-0.05488]\'','\'(0.09658-0.17146]\'','\'(0.11998-0.18741]\'','\'(0.0558-0.1101]\'','\'(0.04568-0.11136]\'','\'(-0.11988--0.06804]\'','\'(114.73-131.12]\'','\'(4741.8-5532.1]\''
'\'(118.74-138.53]\'','\'(-0.17426--0.09788]\'','\'(-0.05318-0.0217]\'','\'(-0.01488-0.05255]\'','\'(-0.0528-0.0015]\'','\'(-0.08568--0.02]\'','\'(-0.06804--0.0162]\'','\'(114.73-131.12]\'','\'(4741.8-5532.1]\''
'\'(98.95-118.74]\'','\'(-0.0215-0.05488]\'','\'(0.0217-0.09658]\'','\'(-0.01488-0.05255]\'','\'(0.0015-0.0558]\'','\'(-0.02-0.04568]\'','\'(0.03564-0.08748]\'','\'(114.73-131.12]\'','\'(4741.8-5532.1]\''
'\'(138.53-158.32]\'','\'(0.05488-0.13126]\'','\'(0.0217-0.09658]\'','\'(-0.08231--0.01488]\'','\'(-0.1071--0.0528]\'','\'(0.11136-0.17704]\'','\'(0.03564-0.08748]\'','\'(131.12-147.51]\'','\'(3951.5-4741.8]\''
'\'(118.74-138.53]\'','\'(0.05488-0.13126]\'','\'(0.0217-0.09658]\'','\'(-0.01488-0.05255]\'','\'(0.0015-0.0558]\'','\'(-0.08568--0.02]\'','\'(-0.06804--0.0162]\'','\'(131.12-147.51]\'','\'(3951.5-4741.8]\''
'\'(98.95-118.74]\'','\'(-0.09788--0.0215]\'','\'(-0.05318-0.0217]\'','\'(0.05255-0.11998]\'','\'(0.0015-0.0558]\'','\'(-0.08568--0.02]\'','\'(0.13932-0.19116]\'','\'(114.73-131.12]\'','\'(4741.8-5532.1]\''
'\'(138.53-158.32]\'','\'(-0.09788--0.0215]\'','\'(-0.05318-0.0217]\'','\'(-0.01488-0.05255]\'','\'(-0.0528-0.0015]\'','\'(-0.02-0.04568]\'','\'(-0.06804--0.0162]\'','\'(131.12-147.51]\'','\'(3951.5-4741.8]\''
'\'(118.74-138.53]\'','\'(-0.09788--0.0215]\'','\'(-0.12806--0.05318]\'','\'(-0.08231--0.01488]\'','\'(0.0015-0.0558]\'','\'(-0.15136--0.08568]\'','\'(-0.06804--0.0162]\'','\'(114.73-131.12]\'','\'(4741.8-5532.1]\''
'\'(98.95-118.74]\'','\'(0.05488-0.13126]\'','\'(-0.05318-0.0217]\'','\'(-0.14974--0.08231]\'','\'(0.0558-0.1101]\'','\'(0.04568-0.11136]\'','\'(0.08748-0.13932]\'','\'(114.73-131.12]\'','\'(4741.8-5532.1]\''
'\'(118.74-138.53]\'','\'(-0.0215-0.05488]\'','\'(-0.05318-0.0217]\'','\'(-0.01488-0.05255]\'','\'(-0.1071--0.0528]\'','\'(-0.02-0.04568]\'','\'(-0.11988--0.06804]\'','\'(114.73-131.12]\'','\'(5532.1-6322.4]\''
'\'(118.74-138.53]\'','\'(-0.17426--0.09788]\'','\'(-0.05318-0.0217]\'','\'(-0.01488-0.05255]\'','\'(-0.0528-0.0015]\'','\'(0.04568-0.11136]\'','\'(0.08748-0.13932]\'','\'(114.73-131.12]\'','\'(5532.1-6322.4]\''
'\'(138.53-158.32]\'','\'(-0.09788--0.0215]\'','\'(-0.20294--0.12806]\'','\'(-0.01488-0.05255]\'','\'(0.0015-0.0558]\'','\'(0.04568-0.11136]\'','\'(0.03564-0.08748]\'','\'(131.12-147.51]\'','\'(4741.8-5532.1]\''
'\'(98.95-118.74]\'','\'(-0.0215-0.05488]\'','\'(0.0217-0.09658]\'','\'(-0.14974--0.08231]\'','\'(0.0015-0.0558]\'','\'(0.04568-0.11136]\'','\'(-0.0162-0.03564]\'','\'(114.73-131.12]\'','\'(4741.8-5532.1]\''
'\'(98.95-118.74]\'','\'(0.05488-0.13126]\'','\'(-0.12806--0.05318]\'','\'(0.05255-0.11998]\'','\'(0.0015-0.0558]\'','\'(-0.08568--0.02]\'','\'(-0.11988--0.06804]\'','\'(114.73-131.12]\'','\'(5532.1-6322.4]\''
'\'(98.95-118.74]\'','\'(-0.09788--0.0215]\'','\'(0.0217-0.09658]\'','\'(-0.01488-0.05255]\'','\'(-0.1071--0.0528]\'','\'(0.04568-0.11136]\'','\'(-0.06804--0.0162]\'','\'(114.73-131.12]\'','\'(4741.8-5532.1]\''
'\'(118.74-138.53]\'','\'(-0.17426--0.09788]\'','\'(-0.05318-0.0217]\'','\'(-0.08231--0.01488]\'','\'(-0.1071--0.0528]\'','\'(0.04568-0.11136]\'','\'(-0.11988--0.06804]\'','\'(131.12-147.51]\'','\'(4741.8-5532.1]\''
'\'(118.74-138.53]\'','\'(-0.17426--0.09788]\'','\'(0.0217-0.09658]\'','\'(-0.01488-0.05255]\'','\'(-0.1614--0.1071]\'','\'(0.11136-0.17704]\'','\'(-0.0162-0.03564]\'','\'(131.12-147.51]\'','\'(5532.1-6322.4]\''
'\'(118.74-138.53]\'','\'(-0.09788--0.0215]\'','\'(-0.20294--0.12806]\'','\'(0.05255-0.11998]\'','\'(0.0558-0.1101]\'','\'(-0.08568--0.02]\'','\'(0.03564-0.08748]\'','\'(114.73-131.12]\'','\'(4741.8-5532.1]\''
'\'(138.53-158.32]\'','\'(-0.09788--0.0215]\'','\'(-0.12806--0.05318]\'','\'(-0.01488-0.05255]\'','\'(0.0015-0.0558]\'','\'(-0.02-0.04568]\'','\'(0.03564-0.08748]\'','\'(131.12-147.51]\'','\'(4741.8-5532.1]\''
'\'(79.16-98.95]\'','\'(-0.0215-0.05488]\'','\'(0.0217-0.09658]\'','\'(-0.01488-0.05255]\'','\'(0.0015-0.0558]\'','\'(0.11136-0.17704]\'','\'(-0.11988--0.06804]\'','\'(98.34-114.73]\'','\'(4741.8-5532.1]\''
'\'(118.74-138.53]\'','\'(-0.0215-0.05488]\'','\'(-0.05318-0.0217]\'','\'(0.05255-0.11998]\'','\'(0.1101-0.1644]\'','\'(-0.21704--0.15136]\'','\'(-0.0162-0.03564]\'','\'(114.73-131.12]\'','\'(4741.8-5532.1]\''
'\'(118.74-138.53]\'','\'(-0.09788--0.0215]\'','\'(0.0217-0.09658]\'','\'(-0.01488-0.05255]\'','\'(-0.0528-0.0015]\'','\'(-0.08568--0.02]\'','\'(-0.06804--0.0162]\'','\'(114.73-131.12]\'','\'(4741.8-5532.1]\''
'\'(98.95-118.74]\'','\'(-0.09788--0.0215]\'','\'(-0.20294--0.12806]\'','\'(-0.08231--0.01488]\'','\'(-0.1614--0.1071]\'','\'(0.04568-0.11136]\'','\'(0.03564-0.08748]\'','\'(114.73-131.12]\'','\'(5532.1-6322.4]\''
'\'(138.53-158.32]\'','\'(-0.0215-0.05488]\'','\'(-0.12806--0.05318]\'','\'(-0.08231--0.01488]\'','\'(0.0558-0.1101]\'','\'(-0.02-0.04568]\'','\'(-0.06804--0.0162]\'','\'(131.12-147.51]\'','\'(5532.1-6322.4]\''
'\'(98.95-118.74]\'','\'(0.20764-0.28402]\'','\'(0.09658-0.17146]\'','\'(-0.08231--0.01488]\'','\'(-0.0528-0.0015]\'','\'(-0.15136--0.08568]\'','\'(-0.0162-0.03564]\'','\'(114.73-131.12]\'','\'(5532.1-6322.4]\''
'\'(98.95-118.74]\'','\'(-0.25064--0.17426]\'','\'(-0.05318-0.0217]\'','\'(-0.08231--0.01488]\'','\'(0.0015-0.0558]\'','\'(0.04568-0.11136]\'','\'(0.08748-0.13932]\'','\'(114.73-131.12]\'','\'(4741.8-5532.1]\''
'\'(118.74-138.53]\'','\'(0.05488-0.13126]\'','\'(0.0217-0.09658]\'','\'(-0.08231--0.01488]\'','\'(-0.0528-0.0015]\'','\'(-0.02-0.04568]\'','\'(-0.06804--0.0162]\'','\'(114.73-131.12]\'','\'(4741.8-5532.1]\''
'\'(118.74-138.53]\'','\'(0.05488-0.13126]\'','\'(-0.05318-0.0217]\'','\'(-0.08231--0.01488]\'','\'(0.0558-0.1101]\'','\'(-0.08568--0.02]\'','\'(0.03564-0.08748]\'','\'(114.73-131.12]\'','\'(4741.8-5532.1]\''
'\'(118.74-138.53]\'','\'(-0.09788--0.0215]\'','\'(0.0217-0.09658]\'','\'(-0.01488-0.05255]\'','\'(-0.1071--0.0528]\'','\'(-0.02-0.04568]\'','\'(-0.17172--0.11988]\'','\'(114.73-131.12]\'','\'(4741.8-5532.1]\''
'\'(118.74-138.53]\'','\'(-0.0215-0.05488]\'','\'(0.0217-0.09658]\'','\'(-0.08231--0.01488]\'','\'(0.0015-0.0558]\'','\'(-0.08568--0.02]\'','\'(-0.06804--0.0162]\'','\'(114.73-131.12]\'','\'(4741.8-5532.1]\''
'\'(118.74-138.53]\'','\'(-0.0215-0.05488]\'','\'(-0.05318-0.0217]\'','\'(-0.01488-0.05255]\'','\'(-0.0528-0.0015]\'','\'(-0.02-0.04568]\'','\'(0.08748-0.13932]\'','\'(114.73-131.12]\'','\'(5532.1-6322.4]\''
'\'(98.95-118.74]\'','\'(-0.0215-0.05488]\'','\'(-0.20294--0.12806]\'','\'(-0.01488-0.05255]\'','\'(-0.0528-0.0015]\'','\'(0.04568-0.11136]\'','\'(-0.17172--0.11988]\'','\'(114.73-131.12]\'','\'(5532.1-6322.4]\''
'\'(118.74-138.53]\'','\'(-0.17426--0.09788]\'','\'(-0.05318-0.0217]\'','\'(-0.01488-0.05255]\'','\'(0.0015-0.0558]\'','\'(-0.08568--0.02]\'','\'(0.08748-0.13932]\'','\'(114.73-131.12]\'','\'(4741.8-5532.1]\''
'\'(138.53-158.32]\'','\'(-0.0215-0.05488]\'','\'(-0.12806--0.05318]\'','\'(-0.01488-0.05255]\'','\'(0.0015-0.0558]\'','\'(-0.02-0.04568]\'','\'(-0.06804--0.0162]\'','\'(131.12-147.51]\'','\'(5532.1-6322.4]\''
'\'(98.95-118.74]\'','\'(-0.09788--0.0215]\'','\'(-0.05318-0.0217]\'','\'(-0.01488-0.05255]\'','\'(0.0015-0.0558]\'','\'(-0.08568--0.02]\'','\'(0.03564-0.08748]\'','\'(114.73-131.12]\'','\'(4741.8-5532.1]\''
'\'(118.74-138.53]\'','\'(-0.09788--0.0215]\'','\'(-0.05318-0.0217]\'','\'(-0.01488-0.05255]\'','\'(0.0015-0.0558]\'','\'(-0.02-0.04568]\'','\'(-0.11988--0.06804]\'','\'(114.73-131.12]\'','\'(4741.8-5532.1]\''
'\'(118.74-138.53]\'','\'(0.05488-0.13126]\'','\'(-0.27782--0.20294]\'','\'(-inf--0.21717]\'','\'(0.1101-0.1644]\'','\'(-0.15136--0.08568]\'','\'(-0.0162-0.03564]\'','\'(114.73-131.12]\'','\'(4741.8-5532.1]\''
'\'(118.74-138.53]\'','\'(-0.09788--0.0215]\'','\'(-0.12806--0.05318]\'','\'(-0.08231--0.01488]\'','\'(-0.0528-0.0015]\'','\'(0.04568-0.11136]\'','\'(-0.06804--0.0162]\'','\'(114.73-131.12]\'','\'(4741.8-5532.1]\''
'\'(118.74-138.53]\'','\'(0.05488-0.13126]\'','\'(0.0217-0.09658]\'','\'(-0.01488-0.05255]\'','\'(-0.0528-0.0015]\'','\'(0.04568-0.11136]\'','\'(-0.06804--0.0162]\'','\'(114.73-131.12]\'','\'(5532.1-6322.4]\''
'\'(138.53-158.32]\'','\'(-0.0215-0.05488]\'','\'(0.0217-0.09658]\'','\'(-0.01488-0.05255]\'','\'(0.0015-0.0558]\'','\'(-0.08568--0.02]\'','\'(0.08748-0.13932]\'','\'(131.12-147.51]\'','\'(4741.8-5532.1]\''
'\'(118.74-138.53]\'','\'(-0.09788--0.0215]\'','\'(-0.05318-0.0217]\'','\'(0.05255-0.11998]\'','\'(-0.1614--0.1071]\'','\'(-0.02-0.04568]\'','\'(0.13932-0.19116]\'','\'(114.73-131.12]\'','\'(5532.1-6322.4]\''
'\'(118.74-138.53]\'','\'(0.05488-0.13126]\'','\'(-0.05318-0.0217]\'','\'(-0.08231--0.01488]\'','\'(-0.0528-0.0015]\'','\'(-0.02-0.04568]\'','\'(-0.0162-0.03564]\'','\'(114.73-131.12]\'','\'(4741.8-5532.1]\''
'\'(138.53-158.32]\'','\'(-0.0215-0.05488]\'','\'(-0.20294--0.12806]\'','\'(0.05255-0.11998]\'','\'(-0.0528-0.0015]\'','\'(0.04568-0.11136]\'','\'(-0.0162-0.03564]\'','\'(131.12-147.51]\'','\'(4741.8-5532.1]\''
'\'(118.74-138.53]\'','\'(-0.0215-0.05488]\'','\'(-0.05318-0.0217]\'','\'(-0.14974--0.08231]\'','\'(0.0558-0.1101]\'','\'(-0.08568--0.02]\'','\'(-0.06804--0.0162]\'','\'(114.73-131.12]\'','\'(4741.8-5532.1]\''
'\'(98.95-118.74]\'','\'(0.05488-0.13126]\'','\'(0.09658-0.17146]\'','\'(0.05255-0.11998]\'','\'(-0.1071--0.0528]\'','\'(-0.15136--0.08568]\'','\'(0.03564-0.08748]\'','\'(114.73-131.12]\'','\'(5532.1-6322.4]\''
'\'(138.53-158.32]\'','\'(-0.0215-0.05488]\'','\'(0.0217-0.09658]\'','\'(-0.01488-0.05255]\'','\'(0.0558-0.1101]\'','\'(-0.02-0.04568]\'','\'(-0.17172--0.11988]\'','\'(131.12-147.51]\'','\'(5532.1-6322.4]\''
'\'(138.53-158.32]\'','\'(-0.0215-0.05488]\'','\'(0.0217-0.09658]\'','\'(-0.01488-0.05255]\'','\'(-0.1071--0.0528]\'','\'(-0.08568--0.02]\'','\'(0.03564-0.08748]\'','\'(131.12-147.51]\'','\'(4741.8-5532.1]\''
'\'(118.74-138.53]\'','\'(-0.17426--0.09788]\'','\'(-0.12806--0.05318]\'','\'(0.05255-0.11998]\'','\'(0.0558-0.1101]\'','\'(-0.02-0.04568]\'','\'(-0.0162-0.03564]\'','\'(114.73-131.12]\'','\'(4741.8-5532.1]\''
'\'(118.74-138.53]\'','\'(-0.17426--0.09788]\'','\'(0.0217-0.09658]\'','\'(-0.14974--0.08231]\'','\'(-0.0528-0.0015]\'','\'(-0.02-0.04568]\'','\'(-0.0162-0.03564]\'','\'(114.73-131.12]\'','\'(5532.1-6322.4]\''
'\'(79.16-98.95]\'','\'(-0.09788--0.0215]\'','\'(-0.05318-0.0217]\'','\'(-0.08231--0.01488]\'','\'(0.0015-0.0558]\'','\'(-0.02-0.04568]\'','\'(-0.0162-0.03564]\'','\'(98.34-114.73]\'','\'(4741.8-5532.1]\''
'\'(118.74-138.53]\'','\'(0.05488-0.13126]\'','\'(0.0217-0.09658]\'','\'(-0.01488-0.05255]\'','\'(0.0558-0.1101]\'','\'(-0.15136--0.08568]\'','\'(0.03564-0.08748]\'','\'(114.73-131.12]\'','\'(4741.8-5532.1]\''
'\'(98.95-118.74]\'','\'(-0.17426--0.09788]\'','\'(-0.05318-0.0217]\'','\'(-0.01488-0.05255]\'','\'(0.0558-0.1101]\'','\'(-0.08568--0.02]\'','\'(-0.0162-0.03564]\'','\'(98.34-114.73]\'','\'(4741.8-5532.1]\''
'\'(118.74-138.53]\'','\'(-0.0215-0.05488]\'','\'(-0.05318-0.0217]\'','\'(-0.08231--0.01488]\'','\'(0.0015-0.0558]\'','\'(-0.02-0.04568]\'','\'(-0.11988--0.06804]\'','\'(114.73-131.12]\'','\'(4741.8-5532.1]\''
'\'(138.53-158.32]\'','\'(-0.0215-0.05488]\'','\'(-0.05318-0.0217]\'','\'(-0.01488-0.05255]\'','\'(-0.0528-0.0015]\'','\'(-0.15136--0.08568]\'','\'(-0.0162-0.03564]\'','\'(131.12-147.51]\'','\'(4741.8-5532.1]\''
'\'(118.74-138.53]\'','\'(-0.0215-0.05488]\'','\'(-0.12806--0.05318]\'','\'(-0.01488-0.05255]\'','\'(-0.1071--0.0528]\'','\'(-0.15136--0.08568]\'','\'(0.03564-0.08748]\'','\'(114.73-131.12]\'','\'(5532.1-6322.4]\''
'\'(118.74-138.53]\'','\'(-0.0215-0.05488]\'','\'(-0.12806--0.05318]\'','\'(-0.01488-0.05255]\'','\'(0.0015-0.0558]\'','\'(-0.02-0.04568]\'','\'(-0.06804--0.0162]\'','\'(114.73-131.12]\'','\'(5532.1-6322.4]\''
'\'(79.16-98.95]\'','\'(-0.17426--0.09788]\'','\'(0.09658-0.17146]\'','\'(0.11998-0.18741]\'','\'(-0.0528-0.0015]\'','\'(-0.02-0.04568]\'','\'(-0.06804--0.0162]\'','\'(98.34-114.73]\'','\'(5532.1-6322.4]\''
'\'(118.74-138.53]\'','\'(-0.17426--0.09788]\'','\'(-0.05318-0.0217]\'','\'(-0.01488-0.05255]\'','\'(-0.0528-0.0015]\'','\'(0.04568-0.11136]\'','\'(-0.17172--0.11988]\'','\'(114.73-131.12]\'','\'(5532.1-6322.4]\''
'\'(118.74-138.53]\'','\'(-0.0215-0.05488]\'','\'(-0.05318-0.0217]\'','\'(-0.01488-0.05255]\'','\'(-0.1071--0.0528]\'','\'(-0.08568--0.02]\'','\'(0.03564-0.08748]\'','\'(114.73-131.12]\'','\'(5532.1-6322.4]\''
'\'(138.53-158.32]\'','\'(0.05488-0.13126]\'','\'(-0.05318-0.0217]\'','\'(-0.08231--0.01488]\'','\'(-0.0528-0.0015]\'','\'(-0.08568--0.02]\'','\'(0.03564-0.08748]\'','\'(131.12-147.51]\'','\'(4741.8-5532.1]\''
'\'(118.74-138.53]\'','\'(-0.09788--0.0215]\'','\'(-0.20294--0.12806]\'','\'(-0.01488-0.05255]\'','\'(0.1101-0.1644]\'','\'(-0.02-0.04568]\'','\'(-0.0162-0.03564]\'','\'(114.73-131.12]\'','\'(4741.8-5532.1]\''
'\'(79.16-98.95]\'','\'(-0.0215-0.05488]\'','\'(0.0217-0.09658]\'','\'(-0.14974--0.08231]\'','\'(0.0015-0.0558]\'','\'(-0.15136--0.08568]\'','\'(-0.11988--0.06804]\'','\'(98.34-114.73]\'','\'(5532.1-6322.4]\''
'\'(118.74-138.53]\'','\'(-0.09788--0.0215]\'','\'(0.0217-0.09658]\'','\'(-0.01488-0.05255]\'','\'(-0.0528-0.0015]\'','\'(-0.02-0.04568]\'','\'(-0.06804--0.0162]\'','\'(114.73-131.12]\'','\'(4741.8-5532.1]\''
'\'(118.74-138.53]\'','\'(-0.0215-0.05488]\'','\'(-0.05318-0.0217]\'','\'(-0.01488-0.05255]\'','\'(0.0015-0.0558]\'','\'(-0.02-0.04568]\'','\'(-0.11988--0.06804]\'','\'(114.73-131.12]\'','\'(4741.8-5532.1]\''
'\'(138.53-158.32]\'','\'(0.05488-0.13126]\'','\'(-0.12806--0.05318]\'','\'(0.11998-0.18741]\'','\'(-0.0528-0.0015]\'','\'(0.04568-0.11136]\'','\'(0.08748-0.13932]\'','\'(131.12-147.51]\'','\'(4741.8-5532.1]\''
'\'(118.74-138.53]\'','\'(-0.09788--0.0215]\'','\'(-0.12806--0.05318]\'','\'(-0.08231--0.01488]\'','\'(0.0015-0.0558]\'','\'(-0.08568--0.02]\'','\'(0.03564-0.08748]\'','\'(114.73-131.12]\'','\'(4741.8-5532.1]\''
